,Time 0,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Time 7,Time 8,Time 9,Time 10,Time 11,Time 12,Time 13,Time 14,Time 15,Time 16,Time 17
Role 1,17,0,8,5,13,10,6,9,1,3,4,16,12,7,14,11,15,2
Role 2,6,9,1,3,4,16,12,7,14,11,15,2,17,0,8,5,13,10
Role 3,7,14,11,15,2,17,0,8,5,13,10,6,9,1,3,4,16,12
Role 1,16,12,7,14,11,15,2,17,0,8,5,13,10,6,9,1,3,4
Role 2,1,3,4,16,12,7,14,11,15,2,17,0,8,5,13,10,6,9
Role 3,0,8,5,13,10,6,9,1,3,4,16,12,7,14,11,15,2,17
Role 1,15,2,17,0,8,5,13,10,6,9,1,3,4,16,12,7,14,11
Role 2,9,1,3,4,16,12,7,14,11,15,2,17,0,8,5,13,10,6
Role 3,13,10,6,9,1,3,4,16,12,7,14,11,15,2,17,0,8,5
Role 1,4,16,12,7,14,11,15,2,17,0,8,5,13,10,6,9,1,3
Role 2,12,7,14,11,15,2,17,0,8,5,13,10,6,9,1,3,4,16
Role 3,2,17,0,8,5,13,10,6,9,1,3,4,16,12,7,14,11,15
Role 1,11,15,2,17,0,8,5,13,10,6,9,1,3,4,16,12,7,14
Role 2,5,13,10,6,9,1,3,4,16,12,7,14,11,15,2,17,0,8
Role 3,14,11,15,2,17,0,8,5,13,10,6,9,1,3,4,16,12,7
Role 1,8,5,13,10,6,9,1,3,4,16,12,7,14,11,15,2,17,0
Role 2,3,4,16,12,7,14,11,15,2,17,0,8,5,13,10,6,9,1
Role 3,10,6,9,1,3,4,16,12,7,14,11,15,2,17,0,8,5,13
