,Time 0,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Time 7,Time 8,Time 9,Time 10,Time 11,Time 12,Time 13,Time 14,Time 15,Time 16,Time 17
Role 1,4,15,10,8,16,3,1,17,11,5,2,13,0,6,9,7,12,14
Role 2,2,13,0,6,9,7,12,14,4,15,10,8,16,3,1,17,11,5
Role 3,17,11,5,2,13,0,6,9,7,12,14,4,15,10,8,16,3,1
Role 1,10,8,16,3,1,17,11,5,2,13,0,6,9,7,12,14,4,15
Role 2,6,9,7,12,14,4,15,10,8,16,3,1,17,11,5,2,13,0
Role 3,11,5,2,13,0,6,9,7,12,14,4,15,10,8,16,3,1,17
Role 1,3,1,17,11,5,2,13,0,6,9,7,12,14,4,15,10,8,16
Role 2,15,10,8,16,3,1,17,11,5,2,13,0,6,9,7,12,14,4
Role 3,8,16,3,1,17,11,5,2,13,0,6,9,7,12,14,4,15,10
Role 1,0,6,9,7,12,14,4,15,10,8,16,3,1,17,11,5,2,13
Role 2,14,4,15,10,8,16,3,1,17,11,5,2,13,0,6,9,7,12
Role 3,12,14,4,15,10,8,16,3,1,17,11,5,2,13,0,6,9,7
Role 1,1,17,11,5,2,13,0,6,9,7,12,14,4,15,10,8,16,3
Role 2,9,7,12,14,4,15,10,8,16,3,1,17,11,5,2,13,0,6
Role 3,16,3,1,17,11,5,2,13,0,6,9,7,12,14,4,15,10,8
Role 1,5,2,13,0,6,9,7,12,14,4,15,10,8,16,3,1,17,11
Role 2,7,12,14,4,15,10,8,16,3,1,17,11,5,2,13,0,6,9
Role 3,13,0,6,9,7,12,14,4,15,10,8,16,3,1,17,11,5,2
